time,"[BMS] Auxillary Battery Voltage (V)","[BMS] Battery Current (A)","[BMS] Battery DC Voltage (V)","[BMS] Battery Fan Duty Feedback (%)","[BMS] Battery Fan Feedback (Hz)","[BMS] Battery Fan Status ()","[BMS] Battery Inlet Temperature (℉)","[BMS] Battery management ()","[BMS] Battery Max Temperature (℉)","[BMS] Battery Min Temperature (℉)","[BMS] Battery Pack B01 (℉)","[BMS] Battery Pack B02 (℉)","[BMS] Battery Pack B03 (℉)","[BMS] Battery Pack B04 (℉)","[BMS] Battery Pack B05 (℉)","[BMS] Battery Power (hp)","[BMS] Battery temperature at WCS input (℉)","[BMS] Battery temperature PRA (℉)","[BMS] Battery work time total (h) (h)","[BMS] Battery work time total (sec.) (sec.)","[BMS] BMS Ignition ()","[BMS] BMS Main Relay ()","[BMS] CALC Average Cell Voltage 58kWh (V)","[BMS] CALC Average Cell Voltage 72kWh (V)","[BMS] CALC Average Cell Voltage 77kWh (V)","[BMS] Coolant temperature 2 (℉)","[BMS] Cumulative Charge Current (Ah)","[BMS] Cumulative Discharge Current (Ah)","[BMS] Cumulative Energy Charged (kWh)","[BMS] Cumulative Energy Discharged (kWh)","[BMS] DATC A/C Compressor operation RPM var.1 (rpm)","[BMS] Drive Motor Speed 1 (rpm)","[BMS] Drive Motor Speed 2 (rpm)","[BMS] HV_Charging ()","[BMS] Inverter Capacitor Voltage (V)","[BMS] Isolation Resistance (kOhm)","[BMS] Maximum Cell Voltage (V)","[BMS] Maximum Cell Voltage No ()","[BMS] Minimum Cell Voltage (V)","[BMS] Minimum Cell Voltage No ()","[BMS] Normal Charge Port ()","[BMS] Operating Time (Hours)","[BMS] Rapid Charge Port ()","[BMS] State of Charge BMS (%)","[HVAC] Coolant temperature #1 (℉)","[HVAC] Coolant temperature 1 (℉)","[HVAC] Evaporator Temperature (℉)","[HVAC] Humidity sensor for automatic defogger (%)","[HVAC] Indoor Temperature (℉)","[HVAC] Interior temperature: driver legs vent (℉)","[HVAC] Interior temperature: driver vent (℉)","[HVAC] Interior temperature: front (℉)","[HVAC] Inverter temperature (℉)","[HVAC] Outdoor Temperature (℉)","[HVAC] Outside temperature (℉)","[HVAC] Real Vehicle Speed (mph)","[ICCU/2025] Aux. Battery Current (A)","[ICCU/2025] Aux. Battery State of Charge (%)","[ICCU/2025] Aux. Battery Temperature (℉)","[ICCU/2025] Aux. Battery Voltage (V)","[ICCU/2025] LDC Input Voltage (V)","[ICCU/2025] LDC Output Current (A)","[ICCU/2025] LDC Output Voltage (V)","[ICCU/2025] LDC Temperature (℉)","[ICCU] OBC AC Current A (RMS) (A)","[ICCU] OBC AC Current B (RMS) (A)","[ICCU] OBC AC Frequency (Hz)","[ICCU] OBC AC Total Current (RMS) (A)","[ICCU] OBC AC Voltage A (RMS) (V)","[ICCU] OBC AC Voltage B (RMS) (V)","[ICCU] OBC DC Current A (RMS) (A)","[ICCU] OBC DC Current B (RMS) (A)","[ICCU] OBC DC Current Total (RMS) (A)","[ICCU] OBC DC Voltage (V)","[ICCU] OBC Temperature A (℉)","[ICCU] OBC Temperature B (℉)","[PS] Absolute wheels turn angle (°)","[PS] MDPS motor current (A)","[VCMS] 400V Relay On/Off request ()","[VCMS] 400V Relay Status ()","[VCMS] AC Charger current (A)","[VCMS] AC Charging Counter ()","[VCMS] AC Charging Time (Hours)","[VCMS] AC Charging Time after plug-in (min)","[VCMS] AC Inlet temperature 1 (℉)","[VCMS] Battery main relay status ()","[VCMS] BMS Target current (A)","[VCMS] BMS Target voltage (V)","[VCMS] Charging socket connected ()","[VCMS] CP duty cycle (%)","[VCMS] CP voltage (V)","[VCMS] Cumulative DC Charging time (h)","[VCMS] DC Charger current capability (A)","[VCMS] DC Charging counter ()","[VCMS] DC Charging time after plug-in (min)","[VCMS] DC Inlet Temperature 1 (℉)","[VCMS] DC Inlet Temperature 2 (℉)","[VCMS] EV Max Current (A)","[VCMS] EV Max Voltage (V)","[VCMS] EVSE Current regulation tolerance Value (A)","[VCMS] EVSE Delivered Power Value (Wh)","[VCMS] EVSE Main Power (hp)","[VCMS] EVSE Maximum Current Value (A)","[VCMS] EVSE Maximum Power value (W)","[VCMS] EVSE Maximum Voltage Value (V)","[VCMS] EVSE Minimum Current Value (A)","[VCMS] EVSE Minimum Voltage Value (V)","[VCMS] EVSE Output Current (A)","[VCMS] EVSE Output Voltage (V)","[VCMS] EVSE Target Current (A)","[VCMS] EVSE Target Voltage (V)","[VCMS] HV Battery SoC (%)","[VCMS] HV Battery Voltage (V)","[VCMS] PD voltage (V)","[VCS] Accelerator pedal position (%)","[VCS] Aux. battery voltage (V)","[VCS] Vehicle speed (high res.) (mph)","Average speed (mph)","DC Charger Power (hp)","Distance travelled (miles)","Distance travelled (total) (miles)","EV Instant Energy Consumption (km/kWh)","EV Instant Energy Consumption [kWh/100km] (mi/kWh)","HV EV Battery Power (hp)","Hybrid/EV Charger Power (hp)","Vehicle acceleration (g)",
20:54:50.721,,,,0,,,,20,,,,,,,,,66.2,89.6,,,,,,,,66.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:50.904,14.1,0.6,739.5,,0,0,66.2,,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.603264111597742,,,998.209722222222,3593555,0,0,5.13541666666667,4.10833333333333,3.8515625,,1565.2,1524.9,1170.3,1103.7,,0,0,0,738,2587,3.84,24,3.84,64,0,998.209722222222,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
20:54:51.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,68.9,,,,,,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:51.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,52,72.5,69.8,76.1,72.5,,67.1,67.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
20:54:51.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:51.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14.5703837,0,,,,,,,,,,
20:54:52.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,68,1,,,0,,,,,,,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:52.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,0,0,0,0,400,0,0,0,0,,,,,,,,,,0,,,,,,0,,
20:54:52.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,63,0,,,0,825.6,,0,0.6,9,0,29,0,,,350,825.6,,,,,,,,,,,0,0,62,739.5,4.441,,,,,,,,,,,,,
20:54:53.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,230.4,0,0,0,0,-40,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:53.245,,,,0,,,,20,,,,,,,,,66.2,89.6,,,,,,,,66.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:53.430,14.1,0.6,739.4,,0,0,66.2,,66.2,66.2,66.2,66.2,66.2,66.2,66.2,0.603182534300704,,,998.210277777778,3593557,0,0,5.13472222222222,4.10777777777778,3.85104166666667,,1565.2,1524.9,1170.3,1103.7,,0,0,0,738,2587,3.84,10,3.84,61,0,998.210277777778,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603182534300704,,,
20:54:53.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,68.9,,,,,,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:54:53.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,52,72.5,69.8,76.1,72.5,,67.1,67.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
20:54:54.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
