time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (hp),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (hp),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (hp),Distance travelled (total) (miles),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (mi/kWh),Hybrid/EV Charger Power (hp),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),HV EV Battery Power (kW),12V device load (A)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.53,89.0,14.552,754.0,40.0,14.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,24.0,,,,,21.47
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.53,89.0,14.552,754.0,40.0,14.766,-0.3,3.0,0.0,0.0,,,,,69.8,1.0,,,0.0,,,,,,,69.8,69.8,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,21.2399625,14.5196005,,0.0,,,,0.0,,,,,,,,,,21.5,24.0,17.043231201657317,,,,21.47
2.0,14.1,-3.2,750.1,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,-3.26352696044691,66.2,75.2,984.208888888889,3543152.0,0.0,0.0,5.20902777777778,4.16722222222222,3.90677083333333,1561.2,1514.1,1167.3,1095.7,0.0,1220.0,0.0,0.0,749.0,2455.0,3.9,6.0,3.9,85.0,0.0,984.208888888889,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.53,89.0,14.552,754.0,40.0,14.766,-0.3,3.0,0.0,0.0,,,,,69.8,1.0,,,0.0,,,,,,,69.8,69.8,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,21.2399625,14.5196005,,0.0,,-5.83255565924543,-3.624180942541,0.0,-5.723946181396e-05,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,17.043231201657317,13.997007476338178,,-2.4336517229283445,21.47
3.0,14.1,-3.2,750.1,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,-3.26352696044691,66.2,75.2,984.208888888889,3543152.0,0.0,0.0,5.20902777777778,4.16722222222222,3.90677083333333,1561.2,1514.1,1167.3,1095.7,0.0,1220.0,0.0,0.0,749.0,2455.0,3.9,6.0,3.9,85.0,0.0,984.208888888889,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.37,89.0,14.551,753.3,39.05,14.78,-12.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,750.1,4.443,13.28108,14.5103228,,0.0,,-5.83255565924543,-3.624180942541,0.0,-5.723946181396e-05,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,13.668952613611507,13.997007476338178,,-2.4336517229283445,20.679999999999996
4.0,14.0,-7.1,750.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,-7.245777100233,66.2,75.2,984.209722222222,3543155.0,0.0,0.0,5.2125,4.17,3.909375,1561.2,1514.1,1167.3,1095.7,0.0,823.0,0.0,0.0,749.0,2455.0,3.9,6.0,3.9,99.0,0.0,984.209722222222,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.37,89.0,14.551,753.3,39.05,14.78,-12.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,750.1,4.443,13.28108,14.5103228,,0.0,,-5.83255565924543,-3.624180942541,0.0,-5.723946181396e-05,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,13.668952613611507,13.997007476338178,,-5.403264056847882,20.679999999999996
5.0,14.0,-7.1,750.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,-7.245777100233,66.2,75.2,984.209722222222,3543155.0,0.0,0.0,5.2125,4.17,3.909375,1561.2,1514.1,1167.3,1095.7,0.0,823.0,0.0,0.0,749.0,2455.0,3.9,6.0,3.9,99.0,0.0,984.209722222222,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.37,89.0,14.551,753.3,39.05,14.78,-12.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,750.3,4.443,13.28108,14.5103228,,0.0,0.0039093649337866,-1.68878981321985,-1.04936501503023,0.0,-5.723946181396e-05,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,13.668952613611507,8.99807623478884,0.00629016817846264,-5.403264056847882,20.679999999999996
6.0,14.0,-7.1,750.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,-7.245777100233,66.2,75.2,984.209722222222,3543155.0,0.0,0.0,5.2125,4.17,3.909375,1561.2,1514.1,1167.3,1095.7,0.0,823.0,0.0,0.0,749.0,2455.0,3.9,6.0,3.9,99.0,0.0,984.209722222222,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.59,89.0,14.55,753.3,40.08,14.775,9.6,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,750.3,4.443,44.33537,14.5112994,,0.0,0.0039093649337866,-1.68878981321985,-1.04936501503023,0.0,-5.723946181396e-05,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,8.77937299297105,8.99807623478884,0.00629016817846264,-5.403264056847882,21.49
7.0,14.0,9.9,748.9,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,10.0803842290691,66.2,75.2,984.210277777778,3543157.0,0.0,0.0,5.20069444444444,4.16055555555556,3.90052083333333,1561.2,1514.1,1167.3,1095.7,0.0,934.0,0.0,0.0,747.0,2455.0,3.9,9.0,3.88,49.0,0.0,984.210277777778,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.59,89.0,14.55,753.3,40.08,14.775,9.6,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,748.9,4.442,44.33537,14.5112994,13.7996084727127,0.0,0.0085055933763487,1.61853546818162,1.00571100239948,0.0,,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,8.77937299297105,11.997434979718449,0.013685499742545057,-5.391026448405779,21.49
8.0,14.0,9.9,748.9,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,10.0803842290691,66.2,75.2,984.210277777778,3543157.0,0.0,0.0,5.20069444444444,4.16055555555556,3.90052083333333,1561.2,1514.1,1167.3,1095.7,0.0,934.0,0.0,0.0,747.0,2455.0,3.9,9.0,3.88,49.0,0.0,984.210277777778,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.03,89.0,14.535,753.3,39.2,14.766,-23.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,748.9,4.442,32.1773225,14.5279016,13.7996084727127,0.0,0.0085055933763487,1.61853546818162,1.00571100239948,0.0,,20.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,11.997434979718449,11.997434979718449,0.013685499742545057,-5.391026448405779,21.17
9.0,14.0,3.4,749.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,64.4,66.2,3.46426149602566,66.2,75.2,984.210833333333,3543159.0,0.0,0.0,5.20416666666667,4.16333333333333,3.903125,1561.2,1514.1,1167.3,1095.7,0.0,1254.0,0.0,0.0,748.0,2455.0,3.9,19.0,3.9,13.0,0.0,984.210833333333,0.0,68.0,70.7,69.8,52.0,74.3,79.7,77.0,67.1,18.03,89.0,14.535,753.3,39.2,14.766,-23.1,3.0,0.0,0.0,0.0,14.0,63.0,0.0,69.8,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,69.8,69.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,748.9,4.442,32.1773225,14.5279016,11.9221823306278,0.0,0.0143150563901261,6.2795334306661,3.90191996734643,0.0,,21.0,20.0,19.0,19.0,21.5,25.0,24.0,19.499999999999996,21.5,24.0,11.997434979718449,15.99657997295792,0.023032925731712894,2.5833419060594034,21.17
