time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (hp),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (hp),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),Calculated instant fuel consumption (MPG),DC Charger Power (hp),Distance travelled (total) (miles),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (mi/kWh),Hybrid/EV Charger Power (hp),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),HV EV Battery Power (kW),12V device load (A)
0.0,,,,0.0,,,20.0,,,,,,,68.0,64.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
1.0,13.4,0.8,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.794671642881786,68.0,64.4,1010.87527777778,3639151.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.8,64.0,0.0,1010.87527777778,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,17.32,83.0,13.883,734.1,38.26,14.104,-0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,,0.0,,-168.88994647375765,20.939999999999998
2.0,13.4,0.8,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.794671642881786,68.0,64.4,1010.87527777778,3639151.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.8,64.0,0.0,1010.87527777778,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,17.32,83.0,13.883,734.1,38.26,14.104,-0.7,3.0,0.0,0.0,,,,,71.6,1.0,,,0.0,,,,,,,71.6,71.6,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.8516061,,0.0,0.0,,0.0,0.0,0.0,,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,,-168.88994647375765,20.939999999999998
3.0,13.4,0.7,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.695337687521563,68.0,64.4,1010.87611111111,3639154.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.8,64.0,0.0,1010.87611111111,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,17.32,83.0,13.883,734.1,38.26,14.104,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.444,0.0,13.8516061,,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.5925963034166936,20.939999999999998
4.0,13.4,0.7,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.695337687521563,68.0,64.4,1010.87611111111,3639154.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.8,64.0,0.0,1010.87611111111,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,17.09,83.0,13.884,734.3,37.82,14.097,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.444,0.0,13.8413518,,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.5925963034166936,20.73
5.0,13.4,0.8,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.794671642881786,68.0,64.4,1010.87666666667,3639156.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.78,64.0,0.0,1010.87666666667,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,17.09,83.0,13.884,734.3,37.82,14.097,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.444,0.0,13.8413518,,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.518521765489607,20.73
6.0,13.4,0.8,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.794671642881786,68.0,64.4,1010.87666666667,3639156.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.78,64.0,0.0,1010.87666666667,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,16.9,83.0,13.885,734.1,37.7,14.098,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.444,0.0,13.8506295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000709141703758,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.518521765489607,20.800000000000004
7.0,13.4,0.7,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.695337687521563,68.0,64.4,1010.87722222222,3639158.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.78,149.0,0.0,1010.87722222222,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,16.9,83.0,13.885,734.1,37.7,14.098,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.444,0.0,13.8506295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000709141703758,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.5925963034166936,20.800000000000004
8.0,13.4,0.7,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.695337687521563,68.0,64.4,1010.87722222222,3639158.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.78,149.0,0.0,1010.87722222222,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,16.74,83.0,13.887,734.3,37.8,14.097,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.444,0.0,13.8506295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030249215001697,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.5925963034166936,21.06
9.0,13.4,0.7,730.6,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.695337687521563,68.0,64.4,1010.87722222222,3639158.0,0.0,0.0,5.07361111111111,4.05888888888889,3.80520833333333,1567.7,1531.8,1172.2,1108.7,0.0,0.0,0.0,0.0,729.0,2477.0,3.8,24.0,3.78,149.0,0.0,1010.87722222222,0.0,57.5,69.8,71.6,53.0,71.6,72.5,72.5,68.9,16.74,83.0,13.887,734.3,37.8,14.097,-0.7,3.0,0.0,0.0,0.0,14.0,63.0,0.0,71.6,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,71.6,71.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,730.6,4.443,0.0,13.8506295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030249215001697,20.0,20.0,19.0,20.0,21.0,22.5,24.0,20.500000000000004,20.0,23.000000000000004,0.0,0.0,0.0,0.5925963034166936,21.06
