time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,30.0,30.0,,,,,,,,30.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,10.0,716.6,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,7.166,30.0,30.0,1128.1483333333333,4061334.0,0.0,0.0,4.97638888888889,3.98111111111111,3.73229166666667,30.0,1711.4,1681.1,1278.3,1215.7,0.0,1642.0,0.0,0.0,714.0,2342.0,3.72,9.0,3.72,41.0,0.0,1128.14833333333,0.0,52.5,51.0,51.0,2.0,13.0,34.0,14.5,12.5,34.0,47.0,30.0,30.0,22.0,20.660000000000025,87.0,31.0,13.819,719.5,53.63,14.136,39.0,6.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0700530281886684,32.57272727272728,0.0,,-0.0002810289866207,32.96999999999998
2.0,13.3,10.0,716.6,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,7.166,30.0,30.0,1128.1483333333333,4061334.0,0.0,0.0,4.97638888888889,3.98111111111111,3.73229166666667,30.0,1711.4,1681.1,1278.3,1215.7,0.0,1642.0,0.0,0.0,714.0,2342.0,3.72,9.0,3.72,41.0,0.0,1128.14833333333,0.0,52.5,51.0,51.0,2.0,13.0,34.0,14.5,12.5,34.0,47.0,30.0,30.0,22.0,20.660000000000025,87.0,31.0,13.819,719.5,53.63,14.136,39.0,6.5,3.0,0.0,0.0,,,,,33.0,1.0,,,0.0,,,,,,,33.0,33.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,34.17925,13.781290900000002,24.015625,,0.0,,,3.0700530281886684,32.57272727272728,0.0,0.0,-0.0002810289866207,32.96999999999998
3.0,13.3,-8.3,718.1,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-5.96023,30.0,30.0,1128.148888888889,4061336.0,0.0,0.0,4.98680555555556,3.98944444444444,3.74010416666667,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2088.0,0.0,0.0,716.0,2342.0,3.74,9.0,3.72,2.0,0.0,1128.14888888889,0.0,52.5,51.0,51.0,2.0,13.0,34.0,14.5,12.0,34.0,47.0,30.0,30.0,26.0,20.660000000000025,87.0,31.0,13.819,719.5,53.63,14.136,39.0,6.5,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,717.2,4.444,34.17925,13.781290900000002,24.015625,,0.0,0.0166806950555555,0.0166806950555555,-4.3622477656063605,-22.92396153846154,-5.96023,0.0,-0.0003321251398098,32.96999999999998
4.0,13.3,-8.3,718.1,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-5.96023,30.0,30.0,1128.148888888889,4061336.0,0.0,0.0,4.98680555555556,3.98944444444444,3.74010416666667,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2088.0,0.0,0.0,716.0,2342.0,3.74,9.0,3.72,2.0,0.0,1128.14888888889,0.0,52.5,51.0,51.0,2.0,13.0,34.0,14.5,12.0,34.0,47.0,30.0,30.0,26.0,20.00999999999999,87.0,31.0,13.806,720.8000000000001,52.43,14.11,39.0,-3.5,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,717.2,4.444,24.41375,13.7715249,24.0,,0.0,0.0166806950555555,0.0166806950555555,-4.3622477656063605,-22.92396153846154,-5.96023,0.0,-0.0003321251398098,32.42000000000001
5.0,13.3,-4.7,717.9,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-3.37413,30.0,30.0,1128.1494444444445,4061338.0,0.0,0.0,4.98541666666667,3.98833333333333,3.7390625,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2260.0,0.0,0.0,716.0,2342.0,3.74,19.0,3.72,40.0,0.0,1128.14944444444,0.0,52.5,51.0,51.0,1.5,13.0,34.0,14.5,12.0,34.0,46.0,30.0,30.0,29.0,20.00999999999999,87.0,31.0,13.806,720.8000000000001,52.43,14.11,39.0,-3.5,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,717.9000000000001,4.443,24.41375,13.7715249,24.0,56.41885562576474,0.0,0.0343258586388888,0.0343258586388888,-8.594808143136156,-11.63493103448276,-3.37413,0.0,-0.0003704321439516,32.42000000000001
6.0,13.3,-4.7,717.9,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-3.37413,30.0,30.0,1128.1494444444445,4061338.0,0.0,0.0,4.98541666666667,3.98833333333333,3.7390625,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2260.0,0.0,0.0,716.0,2342.0,3.74,19.0,3.72,40.0,0.0,1128.14944444444,0.0,52.5,51.0,51.0,1.5,13.0,34.0,14.5,12.0,34.0,46.0,30.0,30.0,29.0,19.930000000000007,87.0,31.0,13.804,720.9000000000001,52.62,14.118,39.0,-8.200000000000001,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,717.9000000000001,4.443,25.390300000000003,13.770548300000002,29.59375,56.41885562576474,0.0,0.0343258586388888,0.0343258586388888,-8.594808143136156,-11.63493103448276,-3.37413,0.0,-0.0003704321439516,32.68999999999999
7.0,13.3,-5.0,718.0,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-3.59,30.0,30.0,1128.15,4061340.0,0.0,0.0,4.98611111111111,3.98888888888889,3.73958333333333,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2432.0,0.0,0.0,716.0,2342.0,3.74,24.0,3.72,64.0,0.0,1128.15,0.0,52.5,51.0,51.0,1.5,14.0,34.0,14.5,12.0,34.0,46.0,30.0,30.0,31.0,19.930000000000007,87.0,31.0,13.804,720.9000000000001,52.62,14.118,39.0,-8.200000000000001,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,717.9000000000001,4.444,25.390300000000003,13.770548300000002,29.59375,44.55678340567555,0.0,0.0508288128333333,0.0508288128333333,-8.635097493036213,-11.58064516129032,-3.59,0.0,-0.0003959696302911,32.68999999999999
8.0,13.3,-5.0,718.0,0.0,0.0,0.0,31.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-3.59,30.0,30.0,1128.15,4061340.0,0.0,0.0,4.98611111111111,3.98888888888889,3.73958333333333,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2432.0,0.0,0.0,716.0,2342.0,3.74,24.0,3.72,64.0,0.0,1128.15,0.0,52.5,51.0,51.0,1.5,14.0,34.0,14.5,12.0,34.0,46.0,30.0,30.0,31.0,19.90000000000003,87.0,31.0,13.805,721.0,52.47,14.107,39.0,3.6,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,717.9000000000001,4.444,21.581755,13.7715249,28.0,44.55678340567555,0.0,0.0508288128333333,0.0508288128333333,-8.635097493036213,-11.58064516129032,-3.59,0.0,-0.0003959696302911,32.569999999999965
9.0,13.3,-14.4,718.9,0.0,0.0,0.0,30.0,20.0,29.0,25.0,27.0,27.0,27.0,25.0,25.0,-10.35216,30.0,30.0,1128.1505555555557,4061342.0,0.0,0.0,4.99236111111111,3.99388888888889,3.74427083333333,30.0,1711.4,1681.1,1278.3,1215.7,0.0,2504.0,0.0,0.0,717.0,2346.0,3.74,9.0,3.74,40.0,0.0,1128.15055555556,0.0,52.5,51.0,51.0,1.5,14.0,34.0,14.0,12.0,34.0,46.0,30.0,30.0,31.0,19.90000000000003,87.0,31.0,13.805,721.0,52.47,14.107,39.0,3.6,3.0,0.0,0.0,0.0,17.0,123.0,0.0,33.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,33.0,33.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,718.7,4.444,21.581755,13.7715249,28.0,40.19079064543358,0.0,0.0676280598611111,0.0676280598611111,-2.99454413378464,-33.394064516129035,-3.5945,0.0,0.03046643617088,32.569999999999965
