time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,19.0,24.0,,,,,,,,19.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,1.7,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26123,19.0,24.0,1161.1863888888888,4180271.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,61.0,0.0,1161.18638888889,0.0,62.5,31.5,31.5,16.5,55.0,22.0,19.5,20.0,22.0,34.0,20.0,20.0,0.0,15.480000000000018,88.0,19.5,13.792,745.6,42.28,14.032,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,26.799999999999983
2.0,13.3,1.7,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26123,19.0,24.0,1161.1863888888888,4180271.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,61.0,0.0,1161.18638888889,0.0,62.5,31.5,31.5,16.5,55.0,22.0,19.5,20.0,22.0,34.0,20.0,20.0,0.0,15.480000000000018,88.0,19.5,13.792,745.6,42.28,14.032,23.0,-1.5,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,21.0,,,,,,,,,,,,,,,,,,0.0,13.760294,0.0,,,,,0.0,0.0,,,26.799999999999983
3.0,13.3,1.7,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26123,19.0,24.0,1161.1872222222223,4180274.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,64.0,0.0,1161.18722222222,0.0,62.5,31.5,31.5,16.5,55.0,22.0,19.5,20.0,22.0,34.0,20.0,20.0,0.0,15.480000000000018,88.0,19.5,13.792,745.6,42.28,14.032,23.0,-1.5,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.9000000000001,4.442,0.0,13.760294,0.0,,0.0,,,0.0,1.26123,0.0,,26.799999999999983
4.0,13.3,1.7,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26123,19.0,24.0,1161.1872222222223,4180274.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,64.0,0.0,1161.18722222222,0.0,62.5,31.0,31.0,15.0,55.0,22.0,19.5,18.5,22.0,34.0,20.0,20.0,0.0,14.439999999999998,88.0,19.5,13.803,745.6,40.76,14.035,22.0,-1.6,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.9000000000001,4.442,0.0,13.760294,0.0,,0.0,0.0,0.0,0.0,1.26123,0.0,,26.32
5.0,13.3,1.7,741.9,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.26123,19.0,24.0,1161.1872222222223,4180274.0,0.0,0.0,5.15208333333333,4.12166666666667,3.8640625,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,64.0,0.0,1161.18722222222,0.0,62.5,31.0,31.0,15.0,55.0,22.0,19.5,18.5,22.0,34.0,20.0,20.0,0.0,14.439999999999998,88.0,19.5,13.803,745.6,40.76,14.035,22.0,-1.6,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.8000000000001,4.444,0.0,13.781290900000002,0.0,,0.0,0.0,0.0,0.0,1.26123,0.0,,26.32
6.0,13.4,1.6,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.18688,19.0,24.0,1161.1877777777777,4180276.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,22.0,3.86,61.0,0.0,1161.18777777778,0.0,62.5,30.5,30.5,14.0,55.0,22.0,19.5,17.5,22.0,33.0,20.0,20.0,0.0,13.670000000000016,88.0,19.5,13.827,745.6,39.91,14.057,22.0,-1.6,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.8000000000001,4.444,0.0,13.781290900000002,0.0,0.0,0.0,0.0,0.0,0.0,1.2610599999999998,0.0,,26.23999999999998
7.0,13.4,1.6,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.18688,19.0,24.0,1161.1877777777777,4180276.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,22.0,3.86,61.0,0.0,1161.18777777778,0.0,62.5,30.5,30.5,14.0,55.0,22.0,19.5,17.5,22.0,33.0,20.0,20.0,0.0,13.670000000000016,88.0,19.5,13.827,745.6,39.91,14.057,22.0,-1.5,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.8000000000001,4.444,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.2610599999999998,0.0,,26.23999999999998
8.0,13.4,1.6,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.18688,19.0,24.0,1161.1886111111112,4180279.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,12.0,3.86,2.0,0.0,1161.18861111111,0.0,62.5,30.0,30.0,13.5,55.0,22.0,19.5,16.5,22.0,33.0,20.0,20.0,0.0,13.670000000000016,88.0,19.5,13.827,745.6,39.91,14.057,22.0,-1.5,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.9000000000001,4.444,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,,26.23999999999998
9.0,13.4,1.6,741.8,0.0,0.0,0.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,1.18688,19.0,24.0,1161.1886111111112,4180279.0,0.0,0.0,5.15138888888889,4.12111111111111,3.86354166666667,19.0,1735.3,1692.8,1295.5,1224.0,0.0,0.0,0.0,0.0,741.0,2730.0,3.86,12.0,3.86,2.0,0.0,1161.18861111111,0.0,62.5,30.0,30.0,13.5,55.0,22.0,19.5,16.5,22.0,33.0,20.0,20.0,0.0,12.600000000000025,88.0,19.5,13.814,745.6,38.66,14.032,22.0,-1.5,3.0,0.0,0.0,0.0,18.0,140.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,741.9000000000001,4.444,0.0,13.7915452,0.0,0.0,0.0,0.0,0.0,0.0,1.18688,0.0,,26.059999999999974
