time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),OBD Module Voltage (V),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,21.0,20.0,,,,,,,,21.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.6716666666666,4185618.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2817.0,3.86,24.0,3.84,78.0,0.0,1162.67166666667,0.0,62.0,33.5,33.5,14.0,13.0,34.5,21.5,26.5,34.5,37.0,26.5,26.5,0.0,15.5,86.0,20.5,13.793,744.0,43.04,14.032,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,27.54
2.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.6716666666666,4185618.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2817.0,3.86,24.0,3.84,78.0,0.0,1162.67166666667,0.0,62.0,33.5,33.5,14.0,13.0,34.5,21.5,26.5,34.5,37.0,26.5,26.5,0.0,15.5,86.0,20.5,13.793,744.0,43.04,14.032,24.0,0.0,3.0,0.0,0.0,,,,,25.0,1.0,,,0.0,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,0.0,13.7695717,0.0,,,,,0.0,0.0,,,0.0,27.54
3.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.6725,4185621.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.86,12.0,3.84,2.0,0.0,1162.6725,0.0,62.0,33.5,33.5,14.0,13.0,34.5,21.5,26.5,34.5,37.0,26.5,26.5,0.0,15.5,86.0,20.5,13.793,744.0,43.04,14.032,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.441,0.0,13.7695717,0.0,,0.0,,,0.0,1.3329000000000002,0.0,,0.0,27.54
4.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.6725,4185621.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.86,12.0,3.84,2.0,0.0,1162.6725,0.0,62.0,33.0,33.0,12.5,13.0,34.5,20.5,25.5,34.5,36.0,26.5,26.5,0.0,14.590000000000032,86.0,20.5,13.79,744.1,42.22,14.025,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.441,0.0,13.770548300000002,0.0,,0.0,0.0,0.0,0.0,1.3329000000000002,0.0,,0.0,27.629999999999967
5.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.6725,4185621.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.86,12.0,3.84,2.0,0.0,1162.6725,0.0,62.0,33.0,33.0,12.5,13.0,34.5,20.5,25.5,34.5,36.0,26.5,26.5,0.0,14.590000000000032,86.0,20.5,13.79,744.1,42.22,14.025,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.443,0.0,13.770548300000002,0.0,,0.0,0.0,0.0,0.0,1.3329000000000002,0.0,,0.0,27.629999999999967
6.0,13.3,1.7,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.25885,21.0,20.0,1162.6730555555555,4185623.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.84,24.0,3.84,61.0,0.0,1162.67305555556,0.0,62.0,32.5,32.5,11.5,13.0,34.5,20.0,24.0,34.5,36.0,26.5,26.5,0.0,14.220000000000027,86.0,20.5,13.795,744.1,42.0,14.029,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.443,0.0,13.770548300000002,0.0,0.0,0.0,0.0,0.0,0.0,1.2588499999999998,0.0,,0.0,27.779999999999973
7.0,13.3,1.7,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.25885,21.0,20.0,1162.6730555555555,4185623.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.84,24.0,3.84,61.0,0.0,1162.67305555556,0.0,62.0,32.5,32.5,11.5,13.0,34.5,20.0,24.0,34.5,36.0,26.5,26.5,0.0,14.220000000000027,86.0,20.5,13.795,744.1,42.0,14.029,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.443,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,1.2588499999999998,0.0,,0.0,27.779999999999973
8.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.673611111111,4185625.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.84,24.0,3.84,2.0,0.0,1162.67361111111,0.0,62.0,32.5,32.5,11.0,13.0,34.5,19.5,23.5,34.5,36.0,26.5,26.5,0.0,14.220000000000027,86.0,20.5,13.795,744.1,42.0,14.029,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.443,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,1.2588499999999998,0.0,,0.0,27.779999999999973
9.0,13.3,1.8,740.5,0.0,0.0,0.0,27.0,20.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,1.3329,21.0,20.0,1162.673611111111,4185625.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,21.0,1736.1,1694.4,1296.1,1225.2,0.0,0.0,0.0,0.0,739.0,2665.0,3.84,24.0,3.84,2.0,0.0,1162.67361111111,0.0,62.0,32.5,32.5,11.0,13.0,34.5,19.5,23.5,34.5,36.0,26.5,26.5,0.0,13.769999999999982,86.0,20.5,13.797,744.0,41.4,14.032,24.0,0.0,3.0,0.0,0.0,0.0,18.0,140.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,740.5,4.443,0.0,13.760294,0.0,0.0,0.0,0.0,0.0,0.0,1.2588499999999998,0.0,,0.0,27.630000000000017
