time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (Today) (km),Distance travelled (total) (km),Distance travelled (Week) (km),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,24.0,34.0,,,,,,,,24.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.935277777778,4362967.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2492.0,3.54,24.0,3.54,64.0,0.0,1211.93527777778,0.0,27.0,28.0,28.0,18.5,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.6000000000000227,87.0,27.0,13.795,684.1,23.23,13.93,31.0,-4.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2726,,0.0,22.629999999999978
2.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.935277777778,4362967.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2492.0,3.54,24.0,3.54,64.0,0.0,1211.93527777778,0.0,27.0,28.0,28.0,18.5,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.6000000000000227,87.0,27.0,13.795,684.1,23.23,13.93,31.0,-4.5,3.0,0.0,0.0,,,,,25.0,1.0,,,0.0,,,,,,,25.0,25.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7695717,0.0,,0.0,,,,,,,,,0.2726,0.0,0.0,22.629999999999978
3.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.9358333333332,4362969.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2492.0,3.54,21.0,3.54,64.0,0.0,1211.93583333333,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.6000000000000227,87.0,27.0,13.795,684.1,23.23,13.93,31.0,-4.5,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.5,4.442,0.0,13.7695717,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.797308084012418,27.52208721189348,0.0,0.0002304832526736,0.34075,0.0,0.0,22.629999999999978
4.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.9358333333332,4362969.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2492.0,3.54,21.0,3.54,64.0,0.0,1211.93583333333,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.8500000000000227,87.0,27.0,13.794,684.1,23.26,13.941,31.0,-4.6000000000000005,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.5,4.442,0.0,13.760294,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.797308084012418,27.52208721189348,0.0,0.0002304832526736,0.34075,0.0,0.0,22.40999999999998
5.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.9366666666667,4362972.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2492.0,3.54,21.0,3.54,64.0,0.0,1211.93666666667,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.8500000000000227,87.0,27.0,13.794,684.1,23.26,13.941,31.0,-4.6000000000000005,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.5,4.443,0.0,13.760294,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.797531640952194,27.52230855539821,0.0,0.0002213435047291,0.34075,0.0,0.0,22.40999999999998
6.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.9366666666667,4362972.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2492.0,3.54,21.0,3.54,64.0,0.0,1211.93666666667,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.7900000000000205,87.0,27.0,13.795,684.1,23.45,13.922,31.0,-4.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.5,4.443,0.0,13.760294,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.797531640952194,27.52230855539821,0.0,0.0002213435047291,0.34075,0.0,0.0,22.65999999999998
7.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.9372222222223,4362974.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2495.0,3.54,143.0,3.54,78.0,0.0,1211.93722222222,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.7900000000000205,87.0,27.0,13.795,684.1,23.45,13.922,31.0,-4.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.5,4.442,0.0,13.760294,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.79772071903687,27.522495761422643,0.0,0.0001872060244305,0.34075,0.0,0.0,22.65999999999998
8.0,13.3,0.5,681.5,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,24.0,0.34075,24.0,34.0,1211.9372222222223,4362974.0,0.0,0.0,4.73263888888889,3.78611111111111,3.54947916666667,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2495.0,3.54,143.0,3.54,78.0,0.0,1211.93722222222,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.8400000000000318,87.0,27.0,13.795,684.1,23.35,13.923,31.0,-1.8,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.5,4.442,0.0,13.770548300000002,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.79772071903687,27.522495761422643,0.0,0.0001872060244305,0.34075,0.0,0.0,22.50999999999997
9.0,13.3,0.5,681.4,0.0,0.0,0.0,21.0,20.0,24.0,23.0,24.0,24.0,23.0,23.0,23.0,0.3407,24.0,34.0,1211.9377777777777,4362976.0,0.0,0.0,4.73194444444444,3.78555555555556,3.54895833333333,24.0,1794.2,1792.6,1339.7,1296.0,0.0,0.0,0.0,0.0,679.0,2495.0,3.54,23.0,3.54,85.0,0.0,1211.93777777778,0.0,27.0,28.0,28.0,18.0,55.0,23.0,21.5,19.5,23.0,25.0,21.0,21.0,0.0,0.8400000000000318,87.0,27.0,13.795,684.1,23.35,13.923,31.0,-1.8,3.0,0.0,0.0,0.0,21.0,157.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,681.4000000000001,4.442,0.0,13.770548300000002,0.0,0.0,0.0,0.0,213.1121,404.422139,213.1121,27.797909557244736,27.522682729945284,0.0,0.0001869685226416,0.3407,0.0,0.0,22.50999999999997
