time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.9,4.435,,,,,0.0,,,,,,0.0,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.9,4.435,0.0,14.7505664,0.0,,0.0,,,,,,0.0,,
2.0,14.3,2.1,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.54518,26.0,34.0,8830.71305555556,31790567.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-45.0,-42.0,0.0,736.0,2500.0,3.82,110.0,3.82,169.0,0.0,8830.71305555556,0.0,63.5,,,,,,,,,,,,,30.57,85.0,27.5,14.715,737.6,51.6,15.028,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.7,29.0,29.0,4.6,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.9,4.435,0.0,14.7505664,0.0,,0.0,,,,,1.54518,0.0,,21.03
3.0,14.3,2.1,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.54518,26.0,34.0,8830.71305555556,31790567.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-45.0,-42.0,0.0,736.0,2500.0,3.82,110.0,3.82,169.0,0.0,8830.71305555556,0.0,63.5,,,,,,,,,,,,,30.57,85.0,27.5,14.715,737.6,51.6,15.028,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.7,29.0,29.0,4.6,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.7,4.434,0.0,14.7505664,0.0,,0.0,,,,,1.54518,0.0,,21.03
4.0,14.3,2.4,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.76592,26.0,34.0,8830.71361111111,31790569.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-280.0,-278.0,0.0,736.0,2500.0,3.82,15.0,3.82,58.0,0.0,8830.71361111111,0.0,63.5,,,,,,,,,,,,,30.57,85.0,27.5,14.715,737.6,51.6,15.028,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.7,29.0,29.0,68.9,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.7,4.434,0.0,14.7696101,-3.15625,,0.0,,,,,1.54518,0.0,,21.03
5.0,14.3,2.4,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.76592,26.0,34.0,8830.71361111111,31790569.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-280.0,-278.0,0.0,736.0,2500.0,3.82,15.0,3.82,58.0,0.0,8830.71361111111,0.0,63.5,,,,,,,,,,,,,28.73,85.0,27.5,14.732,738.8,49.79,15.018,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.3,29.0,29.0,68.9,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.8,4.433,0.0,14.7696101,-3.15625,,0.0,,,,,1.54518,0.0,,21.06
6.0,14.3,2.4,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.76592,26.0,34.0,8830.71361111111,31790569.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-280.0,-278.0,0.0,736.0,2500.0,3.82,15.0,3.82,58.0,0.0,8830.71361111111,0.0,63.5,28.0,28.0,24.5,68.0,26.5,25.0,25.5,26.5,26.0,24.0,24.0,2.0,28.73,85.0,27.5,14.732,738.8,49.79,15.018,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.3,29.0,29.0,68.9,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.8,4.433,0.0,14.7696101,-3.15625,,0.0,,,1.1325541360877,88.296,1.54518,0.0,,21.06
7.0,14.3,2.4,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.76592,26.0,34.0,8830.71361111111,31790569.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-280.0,-278.0,0.0,736.0,2500.0,3.82,15.0,3.82,58.0,0.0,8830.71361111111,0.0,63.5,28.0,28.0,24.5,68.0,26.5,25.0,25.5,26.5,26.0,24.0,24.0,2.0,28.73,85.0,27.5,14.732,738.8,49.79,15.018,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.3,29.0,29.0,12.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.8,4.433,0.0,14.761309,-2.46875,,0.0,,,1.1325541360877,88.296,1.54518,0.0,,21.06
8.0,14.3,2.0,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.4716,26.0,34.0,8830.71444444444,31790572.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-279.0,-278.0,0.0,736.0,2500.0,3.82,14.0,3.82,169.0,0.0,8830.71444444444,0.0,63.5,28.0,28.0,24.5,68.0,26.5,25.0,25.5,26.5,26.0,24.0,24.0,2.0,26.89,85.0,27.5,14.734,738.1,51.06,14.997,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.8,29.0,29.0,12.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.8,4.433,0.0,14.761309,-2.46875,,0.0,,,1.1325541360877,88.296,1.76592,0.0,,24.17
9.0,14.3,2.0,735.8,0.0,0.0,0.0,25.0,23.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,1.4716,26.0,34.0,8830.71444444444,31790572.0,0.0,0.0,5.10972222222222,4.08777777777778,3.83229166666667,26.0,13833.1,13641.3,10133.2,9809.7,0.0,-279.0,-278.0,0.0,736.0,2500.0,3.82,14.0,3.82,169.0,0.0,8830.71444444444,0.0,63.5,28.5,28.5,24.5,68.0,26.5,25.0,25.5,26.5,26.0,24.0,24.0,2.0,26.89,85.0,27.5,14.734,738.1,51.06,14.997,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.8,29.0,29.0,110.4,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,26.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,26.0,26.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,735.8,4.433,0.0,14.761309,-2.46875,,0.0,,,1.1325541360877,88.296,1.76592,0.0,,24.17
