time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,443.0,3540.0,0.0,24.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.433,,,,,0.0,,,,,,0.0,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,24.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.433,0.0,13.8403752,0.0,,0.0,,,,,,0.0,,
2.0,13.4,0.6,734.6,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.44076,24.0,20.0,8833.92277777778,31802122.0,0.0,0.0,5.10138888888889,4.08111111111111,3.82604166666667,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,110.0,3.82,173.0,0.0,8833.92277777778,0.0,62.5,,,,,,,,,,,,,12.41,85.0,24.5,13.819,736.7,32.44,13.997,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.2,24.0,24.0,-3.9,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,24.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.433,0.0,13.8403752,0.0,,0.0,,,,,0.44076,0.0,,20.029999999999998
3.0,13.4,0.6,734.6,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.44076,24.0,20.0,8833.92277777778,31802122.0,0.0,0.0,5.10138888888889,4.08111111111111,3.82604166666667,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,110.0,3.82,173.0,0.0,8833.92277777778,0.0,62.5,,,,,,,,,,,,,12.41,85.0,24.5,13.819,736.7,32.44,13.997,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.2,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.432,0.0,13.8403752,0.0,,0.0,,,,,0.44076,0.0,,20.029999999999998
4.0,13.4,0.6,734.5,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.4407,24.0,20.0,8833.92361111111,31802125.0,0.0,0.0,5.10069444444444,4.08055555555556,3.82552083333333,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,110.0,3.82,169.0,0.0,8833.92361111111,0.0,62.5,,,,,,,,,,,,,12.41,85.0,24.5,13.819,736.7,32.44,13.997,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.2,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.432,0.0,13.8315858,0.0,,0.0,,,,,0.4407,0.0,,20.029999999999998
5.0,13.4,0.6,734.5,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.4407,24.0,20.0,8833.92361111111,31802125.0,0.0,0.0,5.10069444444444,4.08055555555556,3.82552083333333,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,110.0,3.82,169.0,0.0,8833.92361111111,0.0,62.5,,,,,,,,,,,,,11.79,85.0,24.5,13.816,737.1,30.7,13.981,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.6,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.435,0.0,13.8315858,0.0,,0.0,,,,,0.4407,0.0,,18.91
6.0,13.4,0.6,734.5,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.4407,24.0,20.0,8833.92361111111,31802125.0,0.0,0.0,5.10069444444444,4.08055555555556,3.82552083333333,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,110.0,3.82,169.0,0.0,8833.92361111111,0.0,62.5,23.5,23.5,22.0,,23.5,,,23.5,24.0,23.5,23.5,,11.79,85.0,24.5,13.816,737.1,30.7,13.981,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.6,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.5,4.433,0.0,13.8315858,0.0,,0.0,,,,,0.4407,0.0,,18.91
7.0,13.4,0.6,734.5,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.4407,24.0,20.0,8833.92444444444,31802128.0,0.0,0.0,5.10069444444444,4.08055555555556,3.82552083333333,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,191.0,3.82,58.0,0.0,8833.92444444444,0.0,62.5,23.5,23.5,22.0,,23.5,,,23.5,24.0,23.5,23.5,,11.79,85.0,24.5,13.816,737.1,30.7,13.981,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.6,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.5,4.433,0.0,13.8306092,0.0,,0.0,,,,,0.4407,0.0,,18.91
8.0,13.4,0.6,734.5,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.4407,24.0,20.0,8833.92444444444,31802128.0,0.0,0.0,5.10069444444444,4.08055555555556,3.82552083333333,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,191.0,3.82,58.0,0.0,8833.92444444444,0.0,62.5,23.5,23.5,22.0,,23.5,,,23.5,24.0,23.5,23.5,,11.12,85.0,24.5,13.813,736.7,25.5,13.979,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.3,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.5,4.433,0.0,13.8306092,0.0,,0.0,,,,,0.4407,0.0,,14.38
9.0,13.4,0.6,734.5,0.0,0.0,0.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.4407,24.0,20.0,8833.92444444444,31802128.0,0.0,0.0,5.10069444444444,4.08055555555556,3.82552083333333,24.0,13833.2,13642.5,10133.3,9810.6,0.0,0.0,0.0,0.0,734.0,2000.0,3.82,191.0,3.82,58.0,0.0,8833.92444444444,0.0,62.5,23.5,23.5,22.0,,23.5,,,23.5,24.0,23.5,23.5,,11.12,85.0,24.5,13.813,736.7,25.5,13.979,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.3,24.0,24.0,-3.8,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,24.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,734.6,4.433,0.0,13.9307107,0.0,,0.0,,,,,0.4407,0.0,,14.38
